EndOfMonth|Account Code|Amount
31/01/2018|1110|124542319
31/01/2018|1120|75614396
31/01/2018|1130|24546145
31/01/2018|1210|22414144.54
31/01/2018|1220|6083158
31/01/2018|1230|64871460.63
31/01/2018|1310|54363775
31/01/2018|1320|3124301
31/01/2018|1330|2356633
31/01/2018|1410|500000392
31/01/2018|1420|124521667
31/01/2018|1430|14526528
31/01/2018|1440|23523592
31/01/2018|1510|70000605
31/01/2018|2110|-1244476
31/01/2018|2120|-1451943
31/01/2018|2210|-14123860
31/01/2018|2220|-851763
31/01/2018|2310|-149999314
31/01/2018|2320|-49999672
31/01/2018|3110|-399999661
31/01/2018|3120|-491253746
31/01/2018|4110|-1438735.54
31/01/2018|4120|-125945.63
28/02/2018|1110|124542319
28/02/2018|1120|75614396
28/02/2018|1130|24546145
28/02/2018|1210|23446763.81
28/02/2018|1220|6535408
28/02/2018|1230|65011481.93
28/02/2018|1310|54363775
28/02/2018|1320|3124301
28/02/2018|1330|2356633
28/02/2018|1410|500000392
28/02/2018|1420|124521667
28/02/2018|1430|14526528
28/02/2018|1440|23523592
28/02/2018|1510|70000605
28/02/2018|2110|-1244476
28/02/2018|2120|-1451943
28/02/2018|2210|-14123860
28/02/2018|2220|-851763
28/02/2018|2310|-149999314
28/02/2018|2320|-49999672
28/02/2018|3110|-399999661
28/02/2018|3120|-491253746
28/02/2018|4110|-2923604.81
28/02/2018|4120|-265966.93
31/03/2018|1110|124542319
31/03/2018|1120|75614396
31/03/2018|1130|24546145
31/03/2018|1210|24487569.75
31/03/2018|1220|6989919.25
31/03/2018|1230|65155838.9
31/03/2018|1310|54363775
31/03/2018|1320|3124301
31/03/2018|1330|2356633
31/03/2018|1410|500000392
31/03/2018|1420|124521667
31/03/2018|1430|14526528
31/03/2018|1440|23523592
31/03/2018|1510|70000605
31/03/2018|2110|-1244476
31/03/2018|2120|-1451943
31/03/2018|2210|-14123860
31/03/2018|2220|-851763
31/03/2018|2310|-149999314
31/03/2018|2320|-49999672
31/03/2018|3110|-399999661
31/03/2018|3120|-491253746
31/03/2018|4110|-4418922
31/03/2018|4120|-410323.9
30/04/2018|1110|124542319
30/04/2018|1120|75614396
